問題文（動詞は( )で示す）	答え
Si tu ( avoir ) de l'argent, tu pourrais voyager autour du monde.	avais
Il faut que nous ( finir ) ce travail avant midi pour respecter les délais.	finissions
Quand il était petit, il ( aller ) souvent à la mer pendant les vacances d'été.	allait
Je ne crois pas qu'il ( dire ) la vérité ; ses paroles me semblent suspectes.	dise
Après qu'il ( prendre ) son café, il est sorti rapidement pour ne pas être en retard.	avait pris
J'espère que vous ( venir ) nous voir l'année prochaine lors de votre voyage en Europe.	viendrez
Elle a dit qu'elle ( être ) fatiguée parce qu'elle avait très peu dormi la nuit précédente.	était
S'il ( pleuvoir ), nous resterions à la maison au lieu d'aller pique-niquer.	pleuvait
Bien qu'il ( faire ) froid ce matin-là, nous avons marché jusqu'au sommet de la montagne.	fît
Les touristes ( arriver ) à l'aéroport il y a une heure et attendent maintenant leurs bagages.	sont arrivés
C'est dommage qu'elle ( ne pas pouvoir ) assister à la réunion des anciens élèves.	ne puisse
Il est certain qu'elle ( réussir ) son examen final après tant d'efforts.	réussira
Nous ( manger ) déjà quand tu nous as appelés pour nous inviter.	avions mangé
Il est possible qu'ils ( savoir ) la nouvelle, mais personne ne leur a rien dit.	sachent
Le livre que j'( lire ) la semaine dernière était vraiment très intéressant.	avais lu
J'aimerais que vous ( travailler ) plus sérieusement sur ce projet important.	travailliez
Je te téléphonerai dès que je ( rentrer ) chez moi ce soir.	rentrerai
Il a promis qu'il ( t'aider ) à déménager le week-end prochain.	l'aiderait
Elle n'est pas la seule personne ( se plaindre ) du bruit incessant de la circulation.	à se plaindre
Les enfants ( jouer ) dans le jardin toute la matinée sous la surveillance de leur mère.	ont joué
Je doute que ce film ( plaire ) à tout le monde, car le sujet est très controversé.	plaise
Le musée ( être ) fermé quand nous sommes arrivés, donc nous n'avons pas pu entrer.	était fermé
Je cherche un appartement ( donner ) sur la mer avec un grand balcon.	donnant
Il faudrait qu'il ( se dépêcher ) s'il veut prendre le train de 10 heures.	se dépêche
Si vous ( étudier ) plus sérieusement, vous auriez réussi votre année.	aviez étudié
Le tableau ( peindre ) par Van Gogh est exposé à la Galerie Nationale.	peint
Je regrette qu'elle ( partir ) si tôt sans nous dire au revoir.	soit partie
Il nous a demandé si nous ( vouloir ) l'accompagner au concert.	voulions
Je ne pense pas qu'il ( venir ) aujourd'hui, il est souffrant.	vienne
Pendant qu'il ( lire ), le téléphone a sonné et l'a distrait.	lisait
Il est indispensable que tu ( faire ) la vaisselle après le dîner.	fasses
L'homme ( sauver ) par les pompiers après l'incendie était légèrement blessé.	sauvé
Nous ( ne pas croire ) qu'il dise cela, il nous a toujours semblé honnête.	ne croyons pas
Au cas où elle ( téléphoner ), dis-lui que je suis sorti pour une heure.	téléphone
Le chef a ordonné que le travail ( finir ) immédiatement.	soit fini
J'ai beaucoup aimé l'histoire qu'il ( raconter ) lors de notre dîner.	avait raconté
Avant de ( manger ), lave-toi les mains.	manger
Je savais qu'elle ( mentir ) depuis le début de cette affaire.	mentait
Il est temps que les enfants ( aller ) se coucher ; il est déjà minuit.	aillent
La voiture ( vendre ) était vieille et en mauvais état.	vendue
Bien que vous ( s'excuser ) poliment, il n'était pas content de votre comportement.	vous fussiez excusés
Après ( réfléchir ) longuement, j'ai décidé de partir pour l'étranger.	avoir réfléchi
Elle a dit qu'elle ( téléphoner ) le lendemain matin pour donner de ses nouvelles.	téléphonerait
Je ne suis pas sûr qu'il ( comprendre ) la consigne ; il a l'air confus.	comprenne
Si j'étais riche, je ( acheter ) une île privée et j'y vivrais seul.	achèterais
Les fruits ( mûrir ) au soleil sont particulièrement délicieux.	mûris
C'est le seul endroit où il ( faire ) si chaud en plein hiver.	fasse
Quand il ( neiger ), nous faisions toujours du ski de fond.	neigeait
Nous aurions aimé qu'il ( rester ) plus longtemps avec nous.	fût resté
Il faut qu'il ( se reposer ) après ce long voyage éprouvant.	se repose
Je ne nie pas qu'il ( réussir ) à résoudre le problème technique.	ait réussi
L'exercice ( juger ) trop difficile par les élèves a été retiré du programme.	jugé
Il est rare que nous ( se voir ) pendant les vacances.	nous voyions
Je l'ai vu ( traverser ) la rue malgré le feu rouge.	traverser
Nous ( dormir ) depuis huit heures quand l'alarme a sonné.	dormions
