A（元の文）	B（書き換え文）	答え
Elle s'est fracturé la jambe.	Elle s'est fait une ( ) à la jambe.	fracture
J'ai trouvé ce vin très fin	B: J'ai apprécié la ( ) de ce vin.	finesse
La police a longtemps poursuivi le criminel.	La police a été longtemps à la ( ) du criminel.	poursuite
L'Etat va financier ces travaux.	L'Etat va se charger du ( ) de ces travaux.	financement
On ne s'arrête que pendant 5 minutes.	On ne fait que 5 minuite d'( ).	arrêt
Elle a réservé une somme d'argent pour les besoins imprévus.	Elle a gardé en ( ) une somme d'argent pour les besoins imprévus.	réserve
Elle s'est étonnée du ton sec de sa réponse.	B: Elle s'est étonnée de la ( ) de sa réponse.	sécheresse
Il est interdit par la loi de déposer des ordures dans les rivières.	La loi interdit le ( ) d'ordures dans les rivières.	dépôt
Le premier ministre espère que la réduction des déficits fera baisser les taux d'intérêt.	Le premier ministre espère que la réduction des déficits entraînera la ( ) des taux d'intérêt.	baisse
Le Sénat demande que les mesures antiracistes soient rigoureusement appliquées.	Le Sénat demande l'( ) rigoureuse des mesures antiracistes.	application
Cet écrivain a voulu se réfugier en France.	Cet écrivain a cherché ( ) en France.	refuge
Cet ordinateur est réparable?	La ( ) de cet ordinateur est possible?	réparation
Elle a exigé d'être payée immédiatement en espèces.	Elle a exigé le ( ) immédiat en espèces.	paiement / payement
Il est manifeste que ses parents sont généreux : ils lui ont acheté une voiture.	La ( ) de ses parents est manifeste : ils lui ont acheté une voiture.	générosité
J'avoue que j'ignore tout dans ce domaine.	J'avoue mon ( ) totale dans ce domaine.	ignorance
À cause du mauvais temps, nous n'avons pas pu secourir les gens isolés.	Le mauvais temps nous a empêchés de porter ( ) aux gens isolés.	secours
Appuyées sur des témoignages, de nouvelles accusations sont lancées contre lui.	De nouvelles accusations sont lancées contre lui, témoignages à l'( ).	appui
Craignant de rater le train, nous nous somme hâtés vers la gare.	Dans la ( ) de rater le train, nous nous somme hâtés vers la gare.	crainte
Je suis touchée des mots tendres qu'il m'a adressés.	La ( ) de ses paroles m'a touchée.	tendresse
Refuser l'offre du direciteur! Ce jeune homme est très audacieux.	Refuser l'offre du direciteur! Ce jeune homme a bien de l'( ).	audace
La porte ferme automatiquement.	La ( ) de la porte est automatique.	fermeture
L'architecte a comparé Paris avec Londres.	L'architecte a fait une ( ) entre Paris et Londres.	comparaison
Le conseil a approuvé ce projet a l'unanimité.	Ce projet a reçu l'( ) du conseil à l'unanimité.	approbation
On n'a pas pu faire avouer le criminel.	On n'a pas pu obtenir l'( ) du criminel.	aveu
Tout le monde se souciait de la santé du président.	Tout le monde se faisait du ( ) au sujet de la santé du président	souci
Alain conçoit clairement le cours des événements.	Alain a une ( ) claire du cours des événements.	conception
Elle a veillé toute la nuit en attendant le retour de son fils.	Elle a veillé toute la nuit dans l'( ) du retour de son fils.	attente
Le film dure deux heures et demie.	La ( ) du film est de deux heures et demie.	durée
Pierre n'a pas hésité à soutenir ma décision.	Pierre n'a pas hésité à apporter son ( ) à ma décision.	soutien
Quand elle conduit, Hélène freine trop souvent.	Quand elle conduit, Hélène donne trop souvent des coups de ( ).	frein
Il a prouvé qu'il savait très patient.	Il a fait ( ) d'une grande patience.	preuve
Je ne crois pas que ses propos soient sincères.	B: Je ne crois pas à la ( ) de ses propos.	sincérité
Le gouvernement a du mal à équilibrer le budget.	Le gouvernement a du mal à établir l'( ) du budget.	équilibre
Son dernier livre n'était pas intéressant.	Son dernier livre était sans ( ).	intérêt
Sur Internet, on peut acheter toutes sortes de choses par carte de crédit.	Sur Internet, on peut faire toutes sortes d'( ) par carte de crédit.	achats
Il faudra beaucoup d'efforts pour maintenir la paix.	Le ( ) de la paix demandra beaucoup d'efforts.	maintien
On est absolument sûr que cette méthode est efficace.	L'( ) de cette méthode ne fait aucun doute.	efficacité
On peut retirer de l'argent avec cette machine ?	On peut faire un ( ) avec cette machine ?	retrait
Pensez-vous que ce journaliste rapporte objectivement les faits ?	Croyez-vous à l'( ) des articles de ce journaliste ?	objectivité
Son dernier film sortira au printemps prochain.	La ( ) de son dernier film est prévue pour le printemps prochain.	sortie
Cette salle est trop obscure, je ne peux pas lire.	L'( ) de cette salle m'empêche de lire.	obscurité
Explique-moi plus précisément !	Un peu plus de ( ), s'il te plaît !	précision
Jacques a confondu la clé de la voiture est celle de la moto	Jacques a fait une ( ) entre la clé de la voiture et celle de la moto.	confusion
Je ne comprends pas pourquoi ils ont rompu brutalement.	J'ignore la raison de leur ( ) brutale.	rupture
On a monté la côte a duré plusieurs heures.	La ( ) de la côte a duré plusieurs heures.	montée
Je crois qu'il faut supprimer ce poste.	La ( ) de ce poste me semble nécessaire.	suppression
La police a arrêté le suspect.	B: La police a procédé a l'( ) du suspect.	arrestation
Pourquoi est-il si orgueilleux?	D'où vient son ( )?	orgueil
Pour traiter ce genre de problème, on doit être très rigoureux.	Une grande ( ) est demandée lorsqu'on traite ce genre de problème.	rigueur
Tu aurais dû agir plus prudemment.	Pourquoi n'as-tu pas agi avec plus de ( )?	prudence
